"","year","Citharichthys1","Engraulis.mordax","Leuroglossus.stilbius","Lipolagus.ochotensis","Merluccius.productus","Nannobrachium1","Sardinops.sagax","Sebastes.jordani","Sebastes1","Stenobrachius.leucopsarus","Trachurus.symmetricus","Vinciguerria1"
"1",1952,0.09387624577819,0.705851193693149,3.40976249763716,1.46249338562387,2.91232291214546,1.6326439132592,0.0412836176310148,1.27630405784303,1.98591630143098,3.76857876543063,1.22511604449407,0.409194560244417
"2",1953,0.485669269829012,0.771253254347884,3.37408002657683,1.36257939673216,0.880452284934265,0.430288628486268,0,0.876449583195496,1.53200790367657,2.97125910974548,0.0296960855599013,0
"3",1954,0.396830255812247,0.734249736220223,0.483047731266355,0.280739273767573,1.71324915664517,0.496273147378826,0.143299178232644,0.980107474737391,2.21819305348266,2.40087731681272,0.831735853566239,0
"4",1955,0.623554246085359,1.68932137002022,1.66517589433956,0.983191735210446,0.967066213304829,0.288207442361948,0.170074795868866,1.17238448688802,2.46241182118598,2.54140401109567,0.380362792732972,0
"5",1956,0.229477249517339,1.46073434907651,2.2558747783036,0.983854091873633,0.925044403890772,0.169896678309609,0,0.614277889190028,1.63668248346379,2.77742077827641,0.224113653460062,0
"6",1957,0.436000745990976,2.99407997847083,2.82974432364246,0.705847675302985,3.34943393401976,0.813506004689784,0.399645487899474,1.41796853692788,2.76020386574426,3.77399071057786,0.524855632189012,0
"7",1958,0.357039190541144,3.81354061500038,1.47415181446209,0.599205255425869,3.9586877014778,0.815632854902382,0.271232165609723,0.370593121089264,1.59108266217897,2.06892110332104,1.18174735523635,0.464855421868408
"8",1959,0.186069617522518,4.66266213214161,1.64407021479169,0.232316473677915,2.60860067037384,0.87791394607385,0.370377168676211,0.310961855406916,1.45113148193256,1.67201086078243,1.2320878839992,0.337861575990609
"9",1960,0.0648178931524374,4.56463359660119,3.37614149306511,0.388300128630436,3.19163891538787,0.927710518092824,0.108043055130118,0.874873341863154,1.39827589910471,2.51463399525068,0.61301044544145,0.0642031982181678
"10",1961,0.0658773084137971,4.71031432294543,3.44678550064317,0.501795596252753,2.42610843169181,0.461617080842218,0.186046613416437,0.46322364174347,1.88741831656055,2.10033646938727,0.502910130133504,0.237594070547247
"11",1962,0.21209459320502,5.4814833447409,3.56484942661928,0.576293394678644,2.82111935607453,0.904025599839561,0.0790417587774355,0.886963276334176,1.66182339988088,2.7898968954235,0.624017820488327,0.156861935469698
"12",1963,0.135831717400225,6.1379057481654,2.85164004323727,0.458063930083501,2.9099753332795,0.321604765245078,0.0672265324805048,0.852104724175831,1.73580462409202,2.16481785517713,0.557153151735527,0.0446580532288131
"13",1964,0.42617079293394,5.91326215356982,3.11736880890486,1.33764385701445,2.78909298033135,0.636128692386747,0,0.320065309123178,2.06750397838755,2.92073270721909,0.423496446367012,0.0466689234296969
"14",1965,0.414306052534863,5.1559605667573,2.36015561277418,0.43431919119739,2.5651598252852,0.886359665782525,0,0.355644592856035,1.61781244082151,2.4611601121602,0.842416762425204,0.14595532989807
"15",1966,0.418756195655401,5.1904005941068,2.46127691169179,1.62552542230404,4.11832972670373,1.82506474622704,0,1.02467990976496,2.03677336613343,3.40866384772945,0.350469849250803,0
"16",1969,0.789839058038808,3.45722692434197,2.93586366312255,0.955953492998853,3.66587420373293,1.09978337164286,0,0.774551934406117,2.12577683290334,2.14094224193659,0.590187236423501,0.1496894290251
"17",1975,0.0887230287537706,0.780522811578934,1.05212430676088,1.43785781450926,0.2290696908383,0.776594699324901,0,0,1.51837952756821,1.62270909622426,0,0.0309894581363733
"18",1978,0.934068128163011,3.06072071734641,2.3773337438667,2.39038392983309,3.66549282275595,1.34268947807325,0,0.748629619295912,1.49558962744643,2.55058517282393,1.5679216573283,0.19984668181112
"19",1981,0.758798285621859,4.03387588016396,3.14259522909817,1.34526389164032,3.09624772418772,1.07889009392723,0,0.475269962977714,2.28708705456775,2.4902477696081,1.01451670862114,0.443249099873173
"20",1983,0,2.88274171206864,2.14998631965333,0.865851517347404,1.1616576534431,1.47921612470817,0,0.0958923272586363,1.18781922414654,2.01922357549593,0.580537757108615,0.138652982660461
"21",1984,0,3.39324231121786,2.61388743784802,1.68045799424846,1.31928425282989,0.968079791963842,0,0.129605583694701,1.76330928423968,2.32084761689469,0.224538486254405,0.0433507007164577
"22",1985,0.177665583345911,2.32738964620028,1.58458480490323,0.750809888144222,0.474183507646701,0.719922473490522,0,0.0588704352587111,0.860399390908853,2.46389609078746,0.323724618355794,0.201701980352944
