"year","pdo","era","npgo","variable","value","variable_era","scale_x","system","ï..year"
1971,-0.319,"1",0.0186527207,"SBRD.ASSP.PROD",0.073,"1SBRD.ASSP.PROD",0.53757203500722,"Central California Current",NA
1972,-1.612,"1",-0.1452385196,"SBRD.ASSP.PROD",0.039,"1SBRD.ASSP.PROD",0.287032587882445,"Central California Current",NA
1973,-1.036,"1",-0.3421107999,"SBRD.ASSP.PROD",0.06,"1SBRD.ASSP.PROD",0.441777540518335,"Central California Current",NA
1974,-0.767,"1",-0.313227463,"SBRD.ASSP.PROD",-0.045,"1SBRD.ASSP.PROD",-0.331947222661116,"Central California Current",NA
1975,-0.809,"1",0.1908359156,"SBRD.ASSP.PROD",-0.032,"1SBRD.ASSP.PROD",-0.236152728172232,"Central California Current",NA
1976,-0.939,"1",0.93921303,"SBRD.ASSP.PROD",0.115,"1SBRD.ASSP.PROD",0.847061940279,"Central California Current",NA
1977,-0.169,"1",1.41536357,"SBRD.ASSP.PROD",NA,"1SBRD.ASSP.PROD",NA,"Central California Current",NA
1978,0.767,"1",1.32380542,"SBRD.ASSP.PROD",0.01,"1SBRD.ASSP.PROD",0.0733371770995489,"Central California Current",NA
1979,-0.039,"1",0.262731659,"SBRD.ASSP.PROD",0.085,"1SBRD.ASSP.PROD",0.625997722227728,"Central California Current",NA
1980,0.025,"1",-0.856092138,"SBRD.ASSP.PROD",0.047,"1SBRD.ASSP.PROD",0.345983046029451,"Central California Current",NA
1981,0.567,"1",-0.823966005,"SBRD.ASSP.PROD",0.089,"1SBRD.ASSP.PROD",0.655472951301231,"Central California Current",NA
1982,0.551,"1",-0.284655343,"SBRD.ASSP.PROD",0.119,"1SBRD.ASSP.PROD",0.876537169352503,"Central California Current",NA
1983,0.602,"1",-0.000825666000000225,"SBRD.ASSP.PROD",0.06,"1SBRD.ASSP.PROD",0.441777540518335,"Central California Current",NA
1984,1.101,"1",0.119633917,"SBRD.ASSP.PROD",0.06,"1SBRD.ASSP.PROD",0.441777540518335,"Central California Current",NA
1985,1.15,"1",0.2393402039,"SBRD.ASSP.PROD",0.291,"1SBRD.ASSP.PROD",2.14397201951313,"Central California Current",NA
1986,0.885,"1",-0.4553155771,"SBRD.ASSP.PROD",0.194,"1SBRD.ASSP.PROD",1.42919771448068,"Central California Current",NA
1987,1.381,"1",-0.537648356,"SBRD.ASSP.PROD",0.173,"1SBRD.ASSP.PROD",1.27445276184479,"Central California Current",NA
1988,1.56,"1",0.486616328,"SBRD.ASSP.PROD",0.018,"1SBRD.ASSP.PROD",0.132287635246555,"Central California Current",NA
1989,0.308,"2",0.898568807,"SBRD.ASSP.PROD",-0.271,"2SBRD.ASSP.PROD",-1.99729766531403,"Central California Current",NA
1990,-0.553,"2",0.506979064,"SBRD.ASSP.PROD",0.249,"2SBRD.ASSP.PROD",1.83448211424135,"Central California Current",NA
1991,-1.015,"2",-0.395936969,"SBRD.ASSP.PROD",0.274,"2SBRD.ASSP.PROD",2.01870229595074,"Central California Current",NA
1992,-0.633,"2",-0.52970458,"SBRD.ASSP.PROD",0.131,"2SBRD.ASSP.PROD",0.964962856573012,"Central California Current",NA
1993,0.4,"2",-1.101862623,"SBRD.ASSP.PROD",0.085,"2SBRD.ASSP.PROD",0.625997722227728,"Central California Current",NA
1994,0.737,"2",-2.0536766,"SBRD.ASSP.PROD",0.047,"2SBRD.ASSP.PROD",0.345983046029451,"Central California Current",NA
1995,0.188,"2",-1.750743963,"SBRD.ASSP.PROD",-0.061,"2SBRD.ASSP.PROD",-0.449848138955128,"Central California Current",NA
1996,-0.08,"2",-0.972205973,"SBRD.ASSP.PROD",-0.124,"2SBRD.ASSP.PROD",-0.914082996862798,"Central California Current",NA
1997,0.345,"2",-0.872874358,"SBRD.ASSP.PROD",-0.233,"2SBRD.ASSP.PROD",-1.71728298911575,"Central California Current",NA
1998,0.741,"2",-0.207043223,"SBRD.ASSP.PROD",-0.133,"2SBRD.ASSP.PROD",-0.98040226227818,"Central California Current",NA
1999,0.392,"2",1.060346525,"SBRD.ASSP.PROD",-0.216,"2SBRD.ASSP.PROD",-1.59201326555337,"Central California Current",NA
2000,-0.849,"2",1.48981569,"SBRD.ASSP.PROD",0.014,"2SBRD.ASSP.PROD",0.102812406173052,"Central California Current",NA
2001,-0.489,"2",2.04370374,"SBRD.ASSP.PROD",-0.103,"2SBRD.ASSP.PROD",-0.759338044226908,"Central California Current",NA
2002,-0.166,"2",2.21101428,"SBRD.ASSP.PROD",-0.166,"2SBRD.ASSP.PROD",-1.22357290213458,"Central California Current",NA
2003,0.597,"2",1.847202098,"SBRD.ASSP.PROD",-0.02,"2SBRD.ASSP.PROD",-0.147727040951723,"Central California Current",NA
2004,1.133,"2",1.017340841,"SBRD.ASSP.PROD",-0.103,"2SBRD.ASSP.PROD",-0.759338044226908,"Central California Current",NA
2005,0.418,"2",-0.464178828,"SBRD.ASSP.PROD",-0.103,"2SBRD.ASSP.PROD",-0.759338044226908,"Central California Current",NA
2006,0.225,"2",-1.140552009,"SBRD.ASSP.PROD",-0.208,"2SBRD.ASSP.PROD",-1.53306280740636,"Central California Current",NA
2007,0.005,"2",-0.758874825,"SBRD.ASSP.PROD",-0.128,"2SBRD.ASSP.PROD",-0.943558225936301,"Central California Current",NA
2008,-0.453,"2",0.200113124,"SBRD.ASSP.PROD",-0.162,"2SBRD.ASSP.PROD",-1.19409767306108,"Central California Current",NA
2009,-1.08,"2",0.863074104,"SBRD.ASSP.PROD",-0.032,"2SBRD.ASSP.PROD",-0.236152728172232,"Central California Current",NA
2010,-0.489,"2",1.205527493,"SBRD.ASSP.PROD",-0.032,"2SBRD.ASSP.PROD",-0.236152728172232,"Central California Current",NA
2011,-0.27,"2",1.151701801,"SBRD.ASSP.PROD",-0.036,"2SBRD.ASSP.PROD",-0.265627957245734,"Central California Current",NA
2012,-1.187,"2",0.715919051,"SBRD.ASSP.PROD",-0.091,"2SBRD.ASSP.PROD",-0.670912357006399,"Central California Current",NA
2013,-0.966,"2",0.899579929,"SBRD.ASSP.PROD",0.068,"2SBRD.ASSP.PROD",0.500727998665341,"Central California Current",NA
1971,-0.319,"1",0.0186527207,"SBRD.BRCO.PROD",0.231,"1SBRD.BRCO.PROD",0.32944447449236,"Central California Current",NA
1972,-1.612,"1",-0.1452385196,"SBRD.BRCO.PROD",0.231,"1SBRD.BRCO.PROD",0.32944447449236,"Central California Current",NA
1973,-1.036,"1",-0.3421107999,"SBRD.BRCO.PROD",-0.318,"1SBRD.BRCO.PROD",-0.353664503051877,"Central California Current",NA
1974,-0.767,"1",-0.313227463,"SBRD.BRCO.PROD",0.193,"1SBRD.BRCO.PROD",0.28216188588274,"Central California Current",NA
1975,-0.809,"1",0.1908359156,"SBRD.BRCO.PROD",-0.343,"1SBRD.BRCO.PROD",-0.384771469242416,"Central California Current",NA
1976,-0.939,"1",0.93921303,"SBRD.BRCO.PROD",-0.779,"1SBRD.BRCO.PROD",-0.927276959605416,"Central California Current",NA
1977,-0.169,"1",1.41536357,"SBRD.BRCO.PROD",0.044,"1SBRD.BRCO.PROD",0.0967643673871278,"Central California Current",NA
1978,0.767,"1",1.32380542,"SBRD.BRCO.PROD",-1.427,"1SBRD.BRCO.PROD",-1.73356952326419,"Central California Current",NA
1979,-0.039,"1",0.262731659,"SBRD.BRCO.PROD",0.355,"1SBRD.BRCO.PROD",0.483735026797433,"Central California Current",NA
1980,0.025,"1",-0.856092138,"SBRD.BRCO.PROD",0.28,"1SBRD.BRCO.PROD",0.390414128225816,"Central California Current",NA
1981,0.567,"1",-0.823966005,"SBRD.BRCO.PROD",-0.056,"1SBRD.BRCO.PROD",-0.0276634973750282,"Central California Current",NA
1982,0.551,"1",-0.284655343,"SBRD.BRCO.PROD",-0.193,"1SBRD.BRCO.PROD",-0.198129672099182,"Central California Current",NA
1983,0.602,"1",-0.000825666000000225,"SBRD.BRCO.PROD",-1.427,"1SBRD.BRCO.PROD",-1.73356952326419,"Central California Current",NA
1984,1.101,"1",0.119633917,"SBRD.BRCO.PROD",-0.255,"1SBRD.BRCO.PROD",-0.275274948251719,"Central California Current",NA
1985,1.15,"1",0.2393402039,"SBRD.BRCO.PROD",1.452,"1SBRD.BRCO.PROD",1.84870870323828,"Central California Current",NA
1986,0.885,"1",-0.4553155771,"SBRD.BRCO.PROD",-0.081,"1SBRD.BRCO.PROD",-0.0587704635655672,"Central California Current",NA
1987,1.381,"1",-0.537648356,"SBRD.BRCO.PROD",0.305,"1SBRD.BRCO.PROD",0.421521094416355,"Central California Current",NA
1988,1.56,"1",0.486616328,"SBRD.BRCO.PROD",0.268,"1SBRD.BRCO.PROD",0.375482784454357,"Central California Current",NA
1989,0.308,"2",0.898568807,"SBRD.BRCO.PROD",-0.069,"2SBRD.BRCO.PROD",-0.0438391197941084,"Central California Current",NA
1990,-0.553,"2",0.506979064,"SBRD.BRCO.PROD",-0.592,"2SBRD.BRCO.PROD",-0.694596852500184,"Central California Current",NA
1991,-1.015,"2",-0.395936969,"SBRD.BRCO.PROD",0.505,"2SBRD.BRCO.PROD",0.670376823940667,"Central California Current",NA
1992,-0.633,"2",-0.52970458,"SBRD.BRCO.PROD",-1.414,"2SBRD.BRCO.PROD",-1.71739390084511,"Central California Current",NA
1993,0.4,"2",-1.101862623,"SBRD.BRCO.PROD",-0.804,"2SBRD.BRCO.PROD",-0.958383925795955,"Central California Current",NA
1994,0.737,"2",-2.0536766,"SBRD.BRCO.PROD",1.24,"2SBRD.BRCO.PROD",1.58492162994251,"Central California Current",NA
