"","GOASAB","GOAPOLL","GOAATF","SITK_HERR","TANNER","SIDE.SHRIMP","CAPELIN","P.SHRIMP","COD","GOAROCK"
"1965",0.076986929,NA,NA,NA,NA,NA,NA,NA,NA,-0.15997095
"1966",0.694020661,NA,NA,NA,NA,NA,NA,NA,NA,-0.115567765
"1967",-0.23687994,NA,NA,NA,NA,NA,NA,NA,NA,-0.146409757
"1968",-1.085747156,NA,NA,-0.519058405,NA,NA,NA,NA,NA,-0.018599093
"1969",-1.085747156,-1.310461306,-1.423837681,-0.613027102,NA,NA,NA,NA,NA,0.01472175
"1970",0.865220772,-0.215869009,-2.733824881,0.084429451,NA,NA,NA,NA,NA,0.057674031
"1971",0.952604162,-0.084719701,-0.80935915,-0.66314374,NA,NA,NA,NA,NA,-0.090353025
"1972",-1.085747156,1.085535658,0.446607959,-0.592145169,-0.884664918,0.471431046,0.721041052,1.184292043,-1.967715486,-0.282576217
"1973",-0.55074681,-0.669847381,-1.173994762,-0.729965925,-1.226279581,0.180658575,1.492393807,1.475205877,-1.247272305,-0.017843916
"1974",0.611987275,-0.662281075,-2.105841326,-0.500264665,-1.701187626,0.350478223,0.978952342,1.684234875,-1.562213413,-0.066050998
"1975",-1.264080604,0.84341386,-1.525125351,0.086517644,-1.25379372,0.026365596,2.151155539,1.49901092,-1.411858792,-0.019222915
"1976",-0.950213735,1.186419741,-1.248272387,1.539900161,-0.972887249,1.909700014,2.219856405,1.37502028,-1.18912758,0.112323809
"1977",1.797904708,1.418453131,-0.924151842,0.268190459,-1.036092398,1.368021136,1.236034256,0.909736134,-0.726328955,0.129162827
"1978",0.94368749,2.048978648,-0.080087925,-0.635997228,-0.191769093,0.232554298,0.687342687,-0.097181032,-0.61063741,0.177293501
"1979",0.037753571,1.292348028,-0.086840437,-0.671496514,-1.504942138,0.482836284,2.265895724,0.588395479,-0.707544808,0.03541769
"1980",1.373471101,0.649212001,-0.701318968,1.22667117,1.101286927,-0.146804961,1.294375013,-0.576284163,0.354185501,0.13076878
"1981",0.786754055,0.664344613,-0.093592948,0.449863273,1.0010669,0.398399335,1.120834977,0.045599245,0.230153935,0.218671126
"1982",1.277171038,0.301161915,0.176507506,-0.556645884,-0.161954192,-0.515672806,0.998299485,-0.861683208,0.33632748,-0.106444714
"1983",-2.16466452,0.444921733,0.696450879,0.458216046,0.723387742,-1.028240908,1.09653655,-1.588452219,1.015409151,0.130600313
"1984",0.833120751,1.466373071,0.973303844,1.947097849,1.343901396,-0.950061317,0.898688896,-1.338119989,0.945597646,-0.018186366
